category,ptype_codes,count_grid_cell_hours,all_valid_grid_cell_hours,pct_of_all_valid_grid_cell_hours,count_among_ptype_precipitation,ptype_precipitation_grid_cell_hours,pct_of_ptype_precipitation
freezing_rain,3,1030,487800,0.2111521115,1030,229441,0.4489171508
freezing_drizzle,12,0,487800,0,0,229441,0
freezing_liquid,3;12,1030,487800,0.2111521115,1030,229441,0.4489171508
wet_snow,6,12198,487800,2.500615006,12198,229441,5.316399423
accretion_relevant,3;6;12,13228,487800,2.711767118,13228,229441,5.765316574
rain,1,184692,487800,37.86223862,184692,229441,80.49651109
ordinary_snow,5,23999,487800,4.919844198,23999,229441,10.45976961
rain_and_snow,7,4054,487800,0.8310783108,4054,229441,1.766903038
ice_pellets,8,3468,487800,0.7109471095,3468,229441,1.511499688
thunderstorm,2,0,487800,0,0,229441,0
no_precipitation,0,258359,487800,52.96412464,0,229441,0
