category,diagnostic,count_grid_cell_hours,category_grid_cell_hours,percentage_of_category
freezing_liquid,zero_interval_mean_precip_rate,112,1030,10.87378641
freezing_liquid,precip_rate_below_0.01_mmh,606,1030,58.83495146
freezing_liquid,t2m_above_0_c,560,1030,54.36893204
freezing_liquid,t2m_above_2_c,48,1030,4.660194175
wet_snow,zero_interval_mean_precip_rate,1154,12198,9.460567306
wet_snow,precip_rate_below_0.01_mmh,3544,12198,29.05394327
wet_snow,t2m_above_5_c,187,12198,1.533038203
