latitude,longitude,timestamp_count,t2m_c_mean,t2m_c_median,t2m_c_p05,t2m_c_p95,t2m_c_p99,t2m_c_min,t2m_c_max,t2m_c_missing_count,dewpoint_depression_c_mean,dewpoint_depression_c_median,dewpoint_depression_c_p05,dewpoint_depression_c_p95,dewpoint_depression_c_p99,dewpoint_depression_c_min,dewpoint_depression_c_max,dewpoint_depression_c_missing_count,precip_rate_mmh_mean,precip_rate_mmh_median,precip_rate_mmh_p05,precip_rate_mmh_p95,precip_rate_mmh_p99,precip_rate_mmh_min,precip_rate_mmh_max,precip_rate_mmh_missing_count,snowfall_rate_mmh_mean,snowfall_rate_mmh_median,snowfall_rate_mmh_p05,snowfall_rate_mmh_p95,snowfall_rate_mmh_p99,snowfall_rate_mmh_min,snowfall_rate_mmh_max,snowfall_rate_mmh_missing_count,fg10_mean,fg10_median,fg10_p05,fg10_p95,fg10_p99,fg10_min,fg10_max,fg10_missing_count,low_cloud_cover_pct_mean,low_cloud_cover_pct_median,low_cloud_cover_pct_p05,low_cloud_cover_pct_p95,low_cloud_cover_pct_p99,low_cloud_cover_pct_min,low_cloud_cover_pct_max,low_cloud_cover_pct_missing_count,tcslw_mean,tcslw_median,tcslw_p05,tcslw_p95,tcslw_p99,tcslw_min,tcslw_max,tcslw_missing_count,cbh_mean,cbh_median,cbh_p05,cbh_p95,cbh_p99,cbh_min,cbh_max,cbh_missing_count,t2m_at_or_below_0_c_count,t2m_at_or_below_0_c_pct,t2m_at_or_below_minus_5_c_count,t2m_at_or_below_minus_5_c_pct,t2m_at_or_below_minus_10_c_count,t2m_at_or_below_minus_10_c_pct,freezing_rain_count,freezing_rain_pct_all_hours,freezing_drizzle_count,freezing_drizzle_pct_all_hours,freezing_liquid_count,freezing_liquid_pct_all_hours,wet_snow_count,wet_snow_pct_all_hours,accretion_relevant_count,accretion_relevant_pct_all_hours,event_count,maximum_event_duration_hours
39.75,21.75,19512,5.383129982,5.385162354,-2.847076416,13.68978882,16.67185913,-10.84237671,21.39175415,0,4.75821394,3.474853516,0.6875488281,12.80948181,16.18171753,-0.0009765625,23.06408691,0,0.1185735213,0,0,0.6732988358,1.954364777,0,5.236530304,0,0.02169710794,0,0,0.08475780487,0.5458381176,0,4.214715958,0,5.387269187,4.920934677,2.248059797,10.2980752,14.08354263,0.8324218392,19.19091415,0,35.54761792,19.45495605,0,99.9420166,100,0,100,0,0.03803373918,0.001983642578,0,0.2235733032,0.3856851196,0,0.818359375,0,1044.199669,406.4180603,29.96330261,5657.022461,8241.260391,28.51695251,12416.64062,4923,2730,13.99138991,281,1.440139401,5,0.02562525625,13,0.06662566626,0,0,13,0.06662566626,585,2.998154982,598,3.064780648,154,47
39.75,22,19512,5.716720969,5.684844971,-2.506060791,14.09264526,16.99977417,-9.302093506,21.6144104,0,4.7309848,3.567749023,0.7324890137,12.64689941,15.93465454,-0.0009765625,24.7776947,0,0.1032472097,0,0,0.5879402161,1.737028599,0,5.149412155,0,0.01499343567,0,0,0.02385556698,0.4000546932,0,3.957223892,0,4.729878287,4.395744324,2.190532494,8.437065411,11.78531546,0.6673827767,22.33982849,0,30.93797716,12.64190674,0,99.04525757,100,0,100,0,0.03658547661,0.002075195312,0,0.1945846558,0.358968811,0,0.7350158691,0,1222.805831,529.1453552,32.29407272,5742.532935,8301.715557,29.19348145,12727.64062,5258,2592,13.28413284,197,1.009635096,0,0,80,0.4100041,0,0,80,0.4100041,429,2.198646986,509,2.608651087,128,37
39.75,22.25,19512,5.990107419,5.949371338,-2.078656006,14.22581177,17.06738647,-9.880218506,21.77261353,0,4.651024496,3.569702148,0.7589111328,12.37154541,15.74544067,-0.000244140625,24.28747559,0,0.09577353502,0,0,0.5514192581,1.650004864,0,5.330085754,0,0.013075571,0,0,0.00470995903,0.3407853842,0,3.479576111,0,4.649780042,4.303581715,2.204417086,8.525706673,12.26290236,0.7200872898,26.21287537,0,29.44733924,10.12115479,0,99.19128418,100,0,100,0,0.03536444582,0.002105712891,0,0.1879714966,0.3443435669,0,0.7496948242,0,1329.219434,608.3084106,38.26992722,6134.717432,8575.911377,29.23423767,12761.64062,5258,2343,12.00799508,146,0.7482574826,0,0,80,0.4100041,0,0,80,0.4100041,429,2.198646986,509,2.608651087,128,37
39.75,22.5,19512,6.846474854,6.875213623,-0.8383361816,14.5003418,17.37303101,-10.80648804,22.40737915,0,4.78893022,3.828491211,0.9795043945,11.99311066,15.17125427,-0.0009765625,24.23144531,0,0.1050057446,0,0,0.6016731262,1.757340431,0,5.990123749,0,0.01347326979,0,0,0.0004291534424,0.3789811134,0,4.147875309,0,5.359069719,4.429067135,2.043361998,11.7120677,16.5992178,0.5804681778,32.07373428,0,30.98153008,7.943725586,0,100,100,0,100,0,0.03906191114,0.001586914062,0,0.2212799072,0.3864001465,0,1.266998291,0,1410.639603,621.1693115,30.8319397,6541.692871,8844.110156,29.38700867,12821.89062,4891,1402,7.185321853,78,0.3997539975,5,0.02562525625,2,0.0102501025,0,0,2,0.0102501025,429,2.198646986,431,2.208897089,93,20
39.75,22.75,19512,9.016879205,9.14151001,3.43182373,14.0005249,15.86380737,-3.095367432,18.93862915,0,4.81668067,4.33795166,1.370275879,9.702429199,12.18470917,-0.0009765625,15.92028809,0,0.1295567219,0,0,0.7250332832,2.23962307,0,5.825328827,0,0.009892955147,0,0,0.0004291534424,0.2903228402,0,3.614008427,0,6.204919863,5.378573895,2.273252821,12.65825357,16.51905384,0.8883660436,27.80224991,0,32.10363916,9.588623047,0,99.9420166,100,0,100,0,0.03835274812,0.002349853516,0,0.2108398438,0.3603823853,0,1.319061279,0,1510.533288,781.4136353,110.7541168,6281.519727,8820.529336,29.01724243,13328.75684,4563,100,0.5125051251,0,0,0,0,0,0,0,0,0,0,309,1.583640836,309,1.583640836,51,38
39.5,21.75,19512,5.541783751,5.656280518,-2.938989258,14.0055542,16.98291748,-12.28939819,23.25308228,0,4.439871785,3.10534668,0.7545288086,12.16508789,15.64859009,-0.0009765625,21.3605957,0,0.1617981499,0,0,0.9374642372,2.475837708,0,6.719684601,0,0.02889217211,0,0,0.1180171967,0.7337391973,0,4.831731319,0,4.961798593,4.588925362,2.17032752,9.415849018,13.1171398,0.6146484017,21.45402527,0,36.49038602,21.69647217,0,100,100,0,100,0,0.04335454117,0.002227783203,0,0.2480773926,0.4520367432,0,1.059509277,0,985.3249273,318.5703125,29.88543701,5613.086865,8240.456797,28.51695251,11662.14062,4757,2902,14.87289873,332,1.701517015,14,0.07175071751,9,0.04612546125,0,0,9,0.04612546125,453,2.321648216,462,2.367773678,125,18
39.5,22,19512,6.764568628,6.959259033,-2.314874268,15.37677002,18.6158374,-11.88632202,24.58901978,0,4.941316207,3.528442383,1.029675293,13.14169922,16.54830261,0.0068359375,30.4309082,0,0.1213991554,0,0,0.7022881508,2.042487144,0,7.478427887,0,0.01337988185,0,0,0.01512765884,0.3875287771,0,3.45543623,0,4.007968122,3.616828442,1.851763248,7.783529663,11.11553515,0.7153398395,23.65910339,0,31.4537322,15.19470215,0,98.87084961,100,0,100,0,0.03989857091,0.002624511719,0,0.2197845459,0.400909729,0,0.8935852051,0,1109.686116,558.7860107,32.16539078,4661.197974,8184.188726,29.05644226,12940.14062,4620,2215,11.35198852,201,1.030135301,9,0.04612546125,26,0.1332513325,0,0,26,0.1332513325,272,1.39401394,298,1.527265273,76,23
39.5,22.25,19512,7.038324241,7.291290283,-2.396148682,15.83527222,19.15648437,-14.60873413,24.87808228,0,4.888252808,3.516357422,0.771484375,13.31407776,17.00641724,0.00048828125,33.69262695,0,0.09523117674,0,0,0.562620163,1.715472221,0,7.353973389,0,0.007860761177,0,0,0.001394748688,0.1975200176,0,3.190326691,0,3.657354382,3.16339016,1.596314287,7.707392645,11.23214786,0.6732020974,25.24217224,0,30.76528993,11.85913086,0,99.40795898,100,0,100,0,0.03452460949,0.002563476562,0,0.1897109985,0.3392236328,0,0.8417663574,0,1207.32082,690.7643433,36.10845871,5200.146899,8497.846523,28.68455505,13011.64062,4620,2147,11.00348503,226,1.158261583,12,0.06150061501,26,0.1332513325,0,0,26,0.1332513325,272,1.39401394,298,1.527265273,76,23
39.5,22.5,19512,6.272021573,6.451385498,-2.618914795,14.93930054,18.20403198,-14.37045288,23.42300415,0,4.069609553,2.816894531,0.305065918,11.96575928,15.82514038,-0.001708984375,26.38989258,0,0.09948312137,0,0,0.6093978882,1.700692177,0,8.658599854,0,0.01178580676,0,0,0.0003996491432,0.3892303705,0,3.583645821,0,3.920097968,3.260909081,1.659537125,8.726344013,12.61217493,0.529062748,25.97900772,0,34.43463862,9.994506836,0,100,100,0,100,0,0.03038044922,0.002014160156,0,0.1618759155,0.3147824097,0,1.019287109,0,1275.531052,662.2845764,30.27360992,6087.19624,8713.126611,28.21737671,12876.14062,4572,2531,12.97150472,272,1.39401394,23,0.1178761788,65,0.3331283313,0,0,65,0.3331283313,322,1.650266503,387,1.983394834,101,20
39.5,22.75,19512,7.431421378,7.52822876,-0.001483154297,14.73512573,17.39177612,-10.06185913,21.73355103,0,4.357458861,3.423217773,0.6991088867,11.10842896,14.19729492,-0.00146484375,21.65936279,0,0.1205449615,0,0,0.7027173042,1.936829567,0,6.608104706,0,0.01265233403,0,0,0.0003218650818,0.43632406,0,2.863204479,0,6.229558423,5.296816349,2.539785933,12.71871028,17.16921921,0.9893814325,33.52711487,0,33.08689404,11.99951172,0,100,100,0,100,0,0.03561486607,0.002593994141,0,0.1881240845,0.3633901978,0,1.369537354,0,1407.82582,719.7236328,40.80628052,6037.745825,8631.691904,28.71737671,12666.14062,4302,978,5.012300123,62,0.3177531775,1,0.005125051251,1,0.005125051251,0,0,1,0.005125051251,470,2.408774088,471,2.413899139,74,36
39.25,21.75,19512,4.423688856,4.563262939,-3.777984619,12.30215454,14.89424072,-17.21075439,20.7237854,0,3.803886259,2.558105469,0.4215209961,11.03950195,14.63996216,-0.00146484375,22.38024902,0,0.180511589,0.002145767212,0,1.048614979,2.525997162,0,5.696582794,0,0.04838079874,0,0,0.2600562572,1.078547359,0,5.478358269,0,6.816002371,5.975587606,2.747186852,13.73508968,18.76406853,1.297047615,29.3622303,0,47.65791836,47.52349854,0,99.83520508,100,0,100,0,0.04005830725,0.005447387695,0,0.2039291382,0.3668054199,0,1.104309082,0,778.0606825,199.7420654,29.75394135,4810.650195,7761.69877,28.79632568,10802.91797,3937,3649,18.70131201,579,2.967404674,48,0.24600246,53,0.2716277163,0,0,53,0.2716277163,695,3.561910619,748,3.833538335,219,21
39.25,22,19512,5.794225457,6.04776001,-3.159503174,14.29253845,17.13899048,-16.31622314,23.7237854,0,4.297447313,3.037536621,0.6558959961,11.73009644,15.30317383,-0.002563476562,23.30432129,0,0.1549335863,0.0004291534424,0,0.8975100517,2.311326027,0,5.699157715,0,0.03211204086,0,0,0.1380988955,0.8105131388,0,4.873788357,0,4.953649186,4.42913723,2.143941832,9.764614058,13.48870841,0.7591999769,24.32615662,0,38.9033741,27.98461914,0,100,100,0,100,0,0.04288707575,0.003189086914,0,0.2350814819,0.4153851318,0,1.08404541,0,923.9084989,376.0839081,29.9810791,4419.383179,7777.66269,28.197052,11165.66797,4092,2828,14.49364494,389,1.993644936,31,0.1588765888,41,0.2101271013,0,0,41,0.2101271013,401,2.055145551,442,2.265272653,125,20
39.25,22.25,19512,6.448588498,6.749664307,-2.757769775,15.1681427,18.31467529,-14.24935913,24.63198853,0,4.424249988,3.181091309,0.6363220215,12.11863403,15.90216797,-0.002075195312,25.23596191,0,0.1309794693,0,0,0.7521772385,2.096749306,0,5.62748909,0,0.02135666589,0,0,0.01574993134,0.660659194,0,3.835773468,0,4.170168237,3.677381039,1.827531004,8.508896399,12.15741958,0.7365909815,25.36711121,0,35.47635722,18.51654053,0,100,100,0,100,0,0.04070331563,0.003051757812,0,0.2219985962,0.4066638184,0,0.9886169434,0,1067.87061,526.1362,30.2656601,5018.637085,8068.259561,28.197052,12618.64062,4092,2452,12.56662567,311,1.593890939,32,0.16400164,41,0.2101271013,0,0,41,0.2101271013,401,2.055145551,442,2.265272653,125,20
39.25,22.5,19512,6.694196469,6.825469971,-1.621307373,15.10285645,18.29749634,-14.96029663,23.18276978,0,4.438776805,3.290039062,0.3895385742,12.34093628,16.10548401,-0.002563476562,25.50390625,0,0.1068396762,0,0,0.6160283089,1.844887733,0,5.994844437,0,0.01597913649,0,0,0.002467632294,0.5224251151,0,3.919887543,0,4.355993586,3.814947128,1.809835982,8.805934477,12.56777364,0.5674999952,28.40330505,0,36.3538502,14.01062012,0,100,100,0,100,0,0.03581584932,0.002502441406,0,0.1954666138,0.3693203735,0,0.7820129395,0,1198.245547,612.416748,29.87714767,5701.395874,8376.69375,27.84422302,12619.14062,4096,1923,9.855473555,196,1.004510045,11,0.05637556376,28,0.143501435,0,0,28,0.143501435,399,2.044895449,427,2.188396884,122,19
39.25,22.75,19512,8.244764609,8.341217041,1.856781006,14.38994141,16.48802856,-8.597503662,21.19302368,0,4.192393173,3.467590332,0.5141601562,10.39195557,13.75396362,-0.001708984375,22.55786133,0,0.1157560252,0,0,0.6701016426,1.772030354,0,7.531642914,0,0.01401205399,0,0,0.002038478851,0.4660563469,0,3.909695148,0,4.841826048,4.337519169,2.112585211,9.428828764,13.35026542,0.8661100268,28.72068787,0,35.3296154,14.05029297,0,100,100,0,100,0,0.03808665383,0.002822875977,0,0.2104904175,0.3757495117,0,0.826965332,0,1333.614304,673.7021484,30.33024216,5840.251831,8358.767871,28.84422302,12649.64062,4166,371,1.901394014,11,0.05637556376,0,0,3,0.01537515375,0,0,3,0.01537515375,461,2.362648626,464,2.37802378,92,31
