metric,cell_count,domain_min,domain_median,domain_mean,domain_max
t2m_c_mean,25,3.157053361,6.272021573,6.127726268,9.915121813
t2m_at_or_below_0_c_pct,25,0.4356293563,12.56662567,11.98421484,25.67138171
t2m_at_or_below_minus_5_c_pct,25,0,1.158261583,1.476834768,4.202542025
t2m_at_or_below_minus_10_c_pct,25,0,0.05637556376,0.1527265273,0.7226322263
fg10_p95,25,7.707392645,10.70944891,10.72073961,14.51360531
fg10_max,25,19.19091415,25.36711121,25.47912651,33.52711487
precip_rate_mmh_mean,25,0.08622630056,0.1205449615,0.1210387307,0.180511589
precip_rate_mmh_max,25,4.055500031,5.825328827,6.060487747,8.658599854
tcslw_mean,25,0.02588386348,0.03601376704,0.03584771279,0.04335454117
tcslw_max,25,0.5190124512,0.8935852051,0.9350048828,1.369537354
freezing_liquid_pct_all_hours,25,0,0.1332513325,0.2111521115,0.9583845838
wet_snow_pct_all_hours,25,1.39401394,2.275522755,2.500615006,4.381918819
accretion_relevant_pct_all_hours,25,1.527265273,2.367773678,2.711767118,4.766297663
event_count,25,43,125,133.4,290
maximum_event_duration_hours,25,16,23,30.36,66
