condition,condition_grid_cell_hours,variable,units,count,missing_count,min,p05,p25,median,mean,p75,p90,p95,p99,max,std
all_winter,433200,t2m_c,degC,433200,0,-17.52308655,-2.179058838,3.058990479,6.72177124,6.427778135,10.01931763,12.59159546,14.03024597,16.94815186,24.87808228,4.979378535
all_winter,433200,dewpoint_depression_c,degC,433200,0,-0.002563476562,0.6070556641,1.873168945,3.561096191,4.541545581,6.389648438,9.603283691,11.6879364,15.32751587,33.69262695,3.515595931
all_winter,433200,precip_rate_mmh,mm h-1,433200,0,0,0,0,0,0.1160758133,0.03604888916,0.3072738647,0.6720542908,1.893862724,8.658599854,0.3741879673
all_winter,433200,snowfall_rate_mmh,mm h-1 water equivalent,433200,0,0,0,0,0,0.01731779222,0,0.0001072883606,0.03572702408,0.4703521729,5.478358269,0.1284467724
all_winter,433200,fg10,m s-1,433200,0,0.529062748,2.129547358,3.352356672,4.640398979,5.364820749,6.610287905,9.22428236,11.12427459,15.1431528,29.3622303,2.872506744
all_winter,433200,low_cloud_cover_pct,percent,433200,0,0,0,0.1953125,15.43273926,34.44607529,71.95129395,97.75085449,100,100,100,37.98547709
all_winter,433200,tcslw,kg m-2,433200,0,0,0,0,0.002166748047,0.03485055267,0.03057861328,0.1167602539,0.1952819824,0.3520205688,1.369537354,0.07392795494
all_winter,433200,cbh,m,328454,104746,27.84422302,30.13148499,197.1602936,563.5239563,1255.884681,1284.376862,3758.723389,5983.286499,8475.464727,14010.27637,1856.410184
freezing_liquid,831,t2m_c,degC,831,0,-7.640228271,-2.352386475,-0.902923584,0.03311157227,-0.03575738386,0.9915466309,1.68447876,1.931121826,2.480291748,2.944488525,1.368800884
freezing_liquid,831,dewpoint_depression_c,degC,831,0,-0.001953125,0.03845214844,0.3699951172,0.7885742188,1.03626825,1.553710938,2.262207031,2.618896484,3.700952148,5.949462891,0.8761439285
freezing_liquid,831,precip_rate_mmh,mm h-1,831,0,0,0,0.0008583068848,0.005149841309,0.05858590026,0.02360343933,0.1261711121,0.3042697906,1.187810898,2.061653137,0.1904453609
freezing_liquid,831,snowfall_rate_mmh,mm h-1 water equivalent,831,0,0,0,0,0,0.005441624335,0.0001072883606,0.002360343933,0.01013875008,0.1188862324,0.718832016,0.03820411725
freezing_liquid,831,fg10,m s-1,831,0,1.039056778,1.844061852,2.829509258,3.603410721,4.10830655,4.92162323,6.66672039,7.666306973,10.27254419,17.4916954,1.941552303
freezing_liquid,831,low_cloud_cover_pct,percent,831,0,0,5.288696289,37.61901855,70.87402344,63.09911772,91.39251709,99.72839355,100,100,100,31.65019023
freezing_liquid,831,tcslw,kg m-2,831,0,0,0.0005645751953,0.004943847656,0.01791381836,0.03504499488,0.0454864502,0.09027099609,0.1265258789,0.2484375,0.3689880371,0.04852576639
freezing_liquid,831,cbh,m,803,28,29.07717896,29.30192719,40.46697998,153.6743317,434.0234061,503.32547,1034.804883,2204.900708,3221.498306,7365.746582,731.8885145
wet_snow,9273,t2m_c,degC,9273,0,-5.492279053,-0.5917175293,1.189361572,2.051422119,1.977175136,2.904693604,3.690313721,4.177545166,5.338985596,7.749664307,1.451147433
wet_snow,9273,dewpoint_depression_c,degC,9273,0,-0.002075195312,0.5241210938,2.265136719,4.433105469,4.973220175,7.131225586,9.830566406,11.34077148,13.75403809,16.79064941,3.348062519
wet_snow,9273,precip_rate_mmh,mm h-1,9273,0,0,0,0.005149841309,0.05836486816,0.2770781324,0.293970108,0.8337593079,1.339302063,2.609973907,5.713748932,0.5399687269
wet_snow,9273,snowfall_rate_mmh,mm h-1 water equivalent,9273,0,0,0,0.003755092621,0.04870891571,0.2401412478,0.25588274,0.7147336006,1.146204472,2.333611965,5.478358269,0.4735131091
wet_snow,9273,fg10,m s-1,9273,0,1.048264503,2.623728371,4.28745842,6.337725639,7.072964918,9.350521088,12.33832645,13.83833694,16.01901062,19.69391823,3.494177824
wet_snow,9273,low_cloud_cover_pct,percent,9273,0,0,2.974243164,33.21533203,77.61230469,64.30188313,94.9798584,99.34387207,100,100,100,34.24261402
wet_snow,9273,tcslw,kg m-2,9273,0,0,0.0009460449219,0.01174926758,0.0530090332,0.08152281787,0.1201171875,0.2036010742,0.2602233887,0.3821887207,1.104309082,0.09164098132
wet_snow,9273,cbh,m,9173,100,29.08552551,32.15389404,264.317627,616.7866211,728.7613523,1020.685303,1477.82915,1818.111523,2796.632471,5556.848145,610.4507518
accretion_relevant,10104,t2m_c,degC,10104,0,-7.640228271,-1.049664307,0.967956543,1.92880249,1.811622194,2.816101074,3.620269775,4.127081299,5.293092041,7.749664307,1.546793366
accretion_relevant,10104,dewpoint_depression_c,degC,10104,0,-0.002075195312,0.3413635254,1.869812012,4.042236328,4.64942692,6.864807129,9.606921387,11.18130493,13.66999634,16.79064941,3.394208159
accretion_relevant,10104,precip_rate_mmh,mm h-1,10104,0,0,0,0.004291534424,0.04806518555,0.259108314,0.2640366554,0.7776260376,1.297631264,2.540408134,5.713748932,0.5236151075
accretion_relevant,10104,snowfall_rate_mmh,mm h-1 water equivalent,10104,0,0,0,0.00182390213,0.03392994404,0.2208384581,0.2188414335,0.6579512358,1.107953489,2.262991548,5.478358269,0.4583143102
accretion_relevant,10104,fg10,m s-1,10104,0,1.039056778,2.472335148,4.075659513,6.020994186,6.829137611,9.045774937,12.09502001,13.67284551,15.97470284,19.69391823,3.48978154
accretion_relevant,10104,low_cloud_cover_pct,percent,10104,0,0,3.044433594,33.78067017,77.17437744,64.20296211,94.79293823,99.38964844,100,100,100,34.03845775
accretion_relevant,10104,tcslw,kg m-2,10104,0,0,0.0008850097656,0.01049041748,0.0486907959,0.07770026532,0.1128616333,0.197567749,0.2552139282,0.3728167725,1.104309082,0.08980028253
accretion_relevant,10104,cbh,m,9976,128,29.07717896,29.56411743,228.5955963,578.807251,705.0369567,999.8495483,1468.539673,1825.892761,2880.091675,7365.746582,626.259532
