latitude,longitude,timestamp_count,t2m_c_mean,t2m_c_median,t2m_c_p05,t2m_c_p95,t2m_c_p99,t2m_c_min,t2m_c_max,t2m_c_missing_count,dewpoint_depression_c_mean,dewpoint_depression_c_median,dewpoint_depression_c_p05,dewpoint_depression_c_p95,dewpoint_depression_c_p99,dewpoint_depression_c_min,dewpoint_depression_c_max,dewpoint_depression_c_missing_count,precip_rate_mmh_mean,precip_rate_mmh_median,precip_rate_mmh_p05,precip_rate_mmh_p95,precip_rate_mmh_p99,precip_rate_mmh_min,precip_rate_mmh_max,precip_rate_mmh_missing_count,snowfall_rate_mmh_mean,snowfall_rate_mmh_median,snowfall_rate_mmh_p05,snowfall_rate_mmh_p95,snowfall_rate_mmh_p99,snowfall_rate_mmh_min,snowfall_rate_mmh_max,snowfall_rate_mmh_missing_count,fg10_mean,fg10_median,fg10_p05,fg10_p95,fg10_p99,fg10_min,fg10_max,fg10_missing_count,low_cloud_cover_pct_mean,low_cloud_cover_pct_median,low_cloud_cover_pct_p05,low_cloud_cover_pct_p95,low_cloud_cover_pct_p99,low_cloud_cover_pct_min,low_cloud_cover_pct_max,low_cloud_cover_pct_missing_count,tcslw_mean,tcslw_median,tcslw_p05,tcslw_p95,tcslw_p99,tcslw_min,tcslw_max,tcslw_missing_count,cbh_mean,cbh_median,cbh_p05,cbh_p95,cbh_p99,cbh_min,cbh_max,cbh_missing_count,t2m_at_or_below_0_c_count,t2m_at_or_below_0_c_pct,t2m_at_or_below_minus_5_c_count,t2m_at_or_below_minus_5_c_pct,t2m_at_or_below_minus_10_c_count,t2m_at_or_below_minus_10_c_pct,freezing_rain_count,freezing_rain_pct_all_hours,freezing_drizzle_count,freezing_drizzle_pct_all_hours,freezing_liquid_count,freezing_liquid_pct_all_hours,wet_snow_count,wet_snow_pct_all_hours,accretion_relevant_count,accretion_relevant_pct_all_hours,event_count,maximum_event_duration_hours
40.25,21.75,17328,4.108646301,4.041046143,-3.465216064,11.96429443,15.25887085,-16.57064819,20.9581604,0,4.714113128,3.535217285,0.4799072266,12.68048096,16.61448975,-0.00244140625,28.77722168,0,0.082091595,0,0,0.4772186279,1.453508377,0,4.055500031,0,0.01986263697,0,0,0.07751315832,0.5035101771,0,3.379261494,0,5.786031956,5.240469933,2.372103834,11.3099555,14.71591548,1.082227707,23.2709465,0,39.23837903,27.07672119,0,100,100,0,100,0,0.0265993865,0.002624511719,0,0.1360336304,0.2710134888,0,0.5673217773,0,1084.816739,425.4485474,29.74225769,5754.002344,8073.271602,28.10162354,13205.00684,4479,3383,19.52331487,399,2.302631579,59,0.3404893813,68,0.3924284395,0,0,68,0.3924284395,702,4.051246537,770,4.443674977,247,21
40.25,22,17328,3.561619023,3.450592041,-4.051092529,11.44360352,14.72879028,-15.99154663,20.02163696,0,4.207133364,2.96472168,0.2167175293,12.25925293,16.23026855,-0.002075195312,26.56066895,0,0.09114604412,0,0,0.5424499512,1.560728073,0,4.828834534,0,0.02656023733,0,0,0.1151847839,0.6905910373,0,4.131782055,0,5.97100128,5.38630867,2.467542458,11.74739347,15.58199312,1.1117239,26.85535049,0,40.48952664,23.03466797,0,100,100,0,100,0,0.02563766539,0.002258300781,0,0.1353759766,0.2538223267,0,0.8495788574,0,1148.011696,452.2832031,29.65922852,6063.305273,8258.287617,28.10162354,13161.75684,4479,3938,22.72622345,552,3.185595568,84,0.4847645429,141,0.8137119114,0,0,141,0.8137119114,571,3.295244691,712,4.108956602,227,16
40.25,22.25,17328,4.411337168,4.407562256,-3.580682373,12.27153015,15.32273193,-16.38095093,19.34390259,0,4.271819809,3.256835938,0.4401855469,11.60804443,15.12728271,-0.002075195312,22.58520508,0,0.1177074424,0,0,0.6843495369,1.823485851,0,7.04498291,0,0.02684780704,0,0,0.1156193018,0.613861084,0,4.953932762,0,6.074031554,5.50092411,2.772868776,11.36501479,14.75780789,1.285832405,25.56921768,0,33.38337314,15.92407227,0,100,100,0,100,0,0.03235669722,0.002105712891,0,0.1859832764,0.3182266235,0,0.876159668,0,1389.878868,552.9256592,29.86685944,6356.450293,8473.494199,28.447052,13114.75684,4848,3141,18.1267313,445,2.568097876,47,0.2712373038,18,0.1038781163,0,0,18,0.1038781163,480,2.770083102,498,2.873961219,144,16
40.25,22.5,17328,7.073379365,7.274475098,0.7283996582,12.74283447,14.69114014,-11.09927368,17.38394165,0,4.378691641,3.718261719,1.190615845,9.833502197,12.31489136,0.07250976562,18.24145508,0,0.1313296959,0.0004291534424,0,0.745010376,2.010098934,0,5.672550201,0,0.01834390112,0,0,0.07976621389,0.4162788391,0,3.330123425,0,6.140379473,5.49541378,3.000846481,11.33585339,14.63074427,1.566781044,21.60827637,0,33.0006359,17.43011475,0,100,100,0,100,0,0.03458374425,0.001953125,0,0.2017211914,0.3159048462,0,0.747253418,0,1396.550625,643.6000671,74.29825211,5560.915649,8520.536963,28.6000824,14010.27637,4212,606,3.497229917,76,0.4385964912,4,0.02308402585,0,0,0,0,0,0,195,1.12534626,195,1.12534626,32,45
40.25,22.75,17328,10.16844407,10.62423706,4.654052734,14.18087769,15.67775024,-4.546539307,17.50186157,0,4.841076739,4.290039062,1.590130615,9.576977539,11.83749878,0.1670532227,15.15771484,0,0.1278955273,0,0,0.759601593,1.899240017,0,6.641578674,0,0.005448726199,0,0,0,0.1058850288,0,2.724051476,0,6.379683358,5.282903671,2.438918734,13.89530268,16.8887833,0.6204990149,22.06417847,0,32.39412176,11.26403809,0,99.83215332,100,0,100,0,0.03389918309,0.00146484375,0,0.2085464478,0.3167947388,0,0.7289123535,0,1509.920078,759.2164612,116.8674622,6187.288452,9072.638525,28.6000824,14010.27637,4212,94,0.5424746076,0,0,0,0,0,0,0,0,0,0,195,1.12534626,195,1.12534626,32,45
40,21.75,17328,4.783339288,4.720489502,-2.834710693,12.62861328,15.69574097,-14.70346069,21.03237915,0,4.872984992,3.857757568,0.5861022949,12.65832825,16.14817017,-0.000732421875,26.4901123,0,0.09237386678,0,0,0.5450248718,1.591210842,0,4.366207123,0,0.01751820239,0,0,0.06451249123,0.4140064716,0,4.063332081,0,5.322856049,4.718024731,2.203364515,10.58287773,14.19902723,1.036565304,20.49164963,0,36.54320947,20.71228027,0,100,100,0,100,0,0.02893205715,0.002380371094,0,0.155859375,0.2913183594,0,0.5190124512,0,1042.600305,399.690918,29.9150238,5597.912109,8233.508984,28.12376404,10947.40625,4157,2704,15.60480148,275,1.587026777,30,0.1731301939,40,0.2308402585,0,0,40,0.2308402585,663,3.826177285,703,4.057017544,182,26
40,22,17328,4.107401816,4.099761963,-3.774200439,12.01080322,14.97079224,-17.52308655,20.03726196,0,4.405547893,3.357177734,0.3389526367,12.10649414,15.87647827,-0.001953125,24.61901855,0,0.09403279944,0,0,0.5690574646,1.567894936,0,5.233955383,0,0.02194777895,0,0,0.08336305618,0.5785937905,0,4.76821661,0,5.495167228,4.93914032,2.474749374,10.56940403,14.17528825,0.8109076023,22.47700119,0,35.46251788,14.68200684,0,99.83215332,100,0,100,0,0.02675996131,0.001800537109,0,0.1424560547,0.2627258301,0,0.6427001953,0,1176.240653,441.5368042,29.84468689,6078.013354,8356.356729,28.12376404,12971.00488,4716,3443,19.86957525,457,2.637349954,52,0.3000923361,93,0.5367036011,0,0,93,0.5367036011,584,3.370267775,677,3.906971376,197,16
40,22.25,17328,4.150795726,4.074920654,-3.726275635,11.97897949,14.93353271,-15.9883728,19.08023071,0,4.341220898,3.379638672,0.3717468262,11.61799316,15.40705383,-0.001953125,23.3704834,0,0.1231559426,0,0,0.7355690002,1.920165539,0,5.7472229,0,0.03312149516,0,0,0.1575636864,0.8142317533,0,5.273330212,0,6.339666022,5.772300243,2.876249695,11.70126734,15.5569339,1.21335125,26.92566299,0,33.7535446,11.95373535,0,99.83215332,100,0,100,0,0.03524722331,0.002105712891,0,0.1915176392,0.3402307129,0,0.9401245117,0,1427.681499,539.6099854,29.93573914,6470.658691,8488.337187,28.99717712,12949.50488,4739,3237,18.68074792,465,2.683518006,57,0.3289473684,81,0.4674515235,0,0,81,0.4674515235,579,3.341412742,660,3.808864266,182,22
40,22.5,17328,6.731839818,6.870391846,0.4897521973,12.4201416,14.57973999,-9.986419678,17.7081604,0,4.671178647,4.041381836,1.243307495,10.08493347,12.58624146,0.1632080078,18.82739258,0,0.139529677,0,0,0.7962083817,2.022797585,0,5.83820343,0,0.02247654005,0,0,0.09980499744,0.5090269446,0,4.489910603,0,6.425508672,5.705441952,2.812304306,12.24589515,15.24120961,1.319533348,24.69421387,0,32.00228947,11.9140625,0,99.83215332,100,0,100,0,0.03775841245,0.002258300781,0,0.2121170044,0.3520245361,0,1.025360107,0,1494.001331,680.4315796,84.85150299,6087.966455,8672.464326,28.76724243,13053.00684,4456,701,4.045475531,81,0.4674515235,0,0,0,0,0,0,0,0,293,1.690904894,293,1.690904894,42,50
40,22.75,17328,9.87839588,10.40023804,4.410455322,13.84439087,15.11496216,-3.743804932,16.42886353,0,5.090074027,4.553588867,1.647631836,9.771276855,11.77348145,0.3000488281,15.87402344,0,0.146980175,0,0,0.8665895462,2.247562408,0,7.183170319,0,0.00893943053,0,0,0,0.21423769,0,4.157960415,0,6.589582189,5.58849144,2.162832355,14.4754909,17.66634684,0.5708018541,21.91281128,0,30.21823499,8.23059082,0,99.8840332,100,0,100,0,0.03706602729,0.001617431641,0,0.2214752197,0.363548584,0,1.104003906,0,1669.621399,765.9950867,129.2509384,6787.141333,9104.942178,28.75291443,12894.64062,4456,85,0.4905355494,0,0,0,0,0,0,0,0,0,0,293,1.690904894,293,1.690904894,42,50
